Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_std,840,18,-1284.952880859375,0.9563247561454772,0.0001558248138399,0.9151222576316128,0.0003268923835825
cov_nii_6584_ew_halpha_ew,840,20,-1400.68701171875,0.9681472182273864,6.966987485232922e-05,0.9394468714327694,0.0001499976355027
cov_nii_6584_ew_oiii_5007_ew,840,27,-1442.142333984375,0.906463086605072,4.7807709179588e-05,0.7842349017211923,0.0001109055092893
cov_nii_6584_ew_hbeta_ew,840,22,-1452.778564453125,0.9632818698883056,4.922938542716915e-05,0.9293350790890332,0.0001037618635857
cov_halpha_ew_oiii_5007_ew,840,27,-1363.06884765625,0.9458363652229308,8.099133918974308e-05,0.9073805541739468,0.0001511334729605
cov_halpha_ew_hbeta_ew,840,16,-1370.3592529296875,0.963110089302063,8.817789472427069e-05,0.93038919391546,0.0001819998078639
cov_oiii_5007_ew_hbeta_ew,840,25,-1391.191162109375,0.9488122463226318,6.94262387326131e-05,0.9152733073013422,0.0001236415489362
nii_6584_ew_mean,230,26,-1275.05908203125,0.9904653429985046,0.0001556924525802,0.9691373936141808,0.0005139657791204
halpha_ew_mean,230,26,-1208.3377685546875,0.9965404868125916,0.0002429102040693,0.984841426829533,0.0010660882443184
oiii_5007_ew_mean,230,18,-1157.3880615234375,0.996156930923462,0.000352750162481,0.9898926875857104,0.00090158442868
hbeta_ew_mean,230,23,-1242.3182373046875,0.996776819229126,0.0001936699502168,0.9471849469767916,0.003196631588892
nii_6584_ew_std,230,26,-1297.8243408203125,0.9629007577896118,0.0001383129156805,0.9249991101618846,0.0003151258460267
halpha_ew_std,230,17,-1252.738525390625,0.9671615362167358,0.0001868097650167,0.937944030781826,0.000383810979866
oiii_5007_ew_std,230,30,-1217.7596435546875,0.9336812496185304,0.0002133790355427,0.8593297603291467,0.0005441644866216
hbeta_ew_std,230,22,-1280.4580078125,0.9564746618270874,0.0001552900097796,0.9152205969050214,0.0003265136463707
