Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_std,640,20,-1333.5789794921875,0.8669524788856506,0.0001089789036332,0.725058706524139,0.0002861208510179
halpha_ew_std,640,24,-1347.5286865234375,0.963536024093628,9.603884580603637e-05,0.904774976830804,0.000279801914881
oiii_5007_ew_std,640,24,-1195.686279296875,0.8739557862281799,0.0002556043060274,0.7712878965000298,0.000578160114251
hbeta_ew_std,640,28,-1343.0068359375,0.9549636244773864,9.572636819811712e-05,0.9112004185222938,0.0002068006931313
cov_nii_6584_ew_halpha_ew,640,35,-1556.014404296875,0.9402901530265808,2.1641976582940612e-05,0.8532941788910587,6.514842554460415e-05
cov_nii_6584_ew_oiii_5007_ew,640,28,-1506.5003662109375,0.9420600533485411,3.2186147622260336e-05,0.8720665719698226,7.972318451160925e-05
cov_nii_6584_ew_hbeta_ew,640,28,-1585.4420166015625,0.9110217094421388,1.901559120395143e-05,0.8266546246690156,4.4604467279110034e-05
cov_halpha_ew_oiii_5007_ew,640,33,-1499.4317626953125,0.9584008455276488,3.1558806235492964e-05,0.8483449897789467,0.0001208856969812
cov_halpha_ew_hbeta_ew,640,40,-1533.207763671875,0.962865114212036,2.436810052180948e-05,0.9083263500066168,6.687708118759972e-05
cov_oiii_5007_ew_hbeta_ew,640,33,-1489.6180419921875,0.9484778046607972,3.25856920175141e-05,0.8151535056097354,0.0001250013322861
nii_6584_ew_mean,780,32,-1292.211669921875,0.9963358640670776,0.0001298946831129,0.9929761745124204,0.0002610987269954
halpha_ew_mean,780,35,-1285.290771484375,0.9991020560264589,0.0001272374410946,0.998363637487696,0.0002358133449914
oiii_5007_ew_mean,780,28,-1186.3154296875,0.997745931148529,0.0002720817132016,0.9951615808723168,0.0005734124636772
hbeta_ew_mean,780,28,-1307.5767822265625,0.9989845752716064,0.0001172477781778,0.9981053010344392,0.0002232151064955
nii_6584_ew_std,780,28,-1334.4383544921875,0.8762617111206055,0.0001013537134841,0.7424390488788732,0.000268033795841
halpha_ew_std,780,29,-1339.3521728515625,0.962758243083954,9.808731096781652e-05,0.9068899086917076,0.0002735875610817
oiii_5007_ew_std,780,23,-1195.5052490234375,0.873803436756134,0.0002559131437001,0.767836809526041,0.0005868840987216
hbeta_ew_std,780,21,-1342.9644775390625,0.9518384337425232,0.0001023691206443,0.9097543810257276,0.0002101682940998
cov_nii_6584_ew_halpha_ew,780,33,-1553.767578125,0.9393889904022216,2.196859190654128e-05,0.8462417096583947,6.828025264755627e-05
cov_nii_6584_ew_oiii_5007_ew,780,30,-1519.3984375,0.9502698183059692,2.7625544214950743e-05,0.8450799258265407,9.65402228960014e-05
cov_nii_6584_ew_hbeta_ew,780,41,-1586.142578125,0.919881284236908,1.7122198777465106e-05,0.8179177866929555,4.685259188515716e-05
cov_halpha_ew_oiii_5007_ew,780,43,-1505.4111328125,0.9626097679138184,2.8365713882683653e-05,0.8544850096831693,0.0001159914268577
cov_halpha_ew_hbeta_ew,780,30,-1531.31982421875,0.9597966074943542,2.638167037412832e-05,0.9053143723230096,6.907435680710838e-05
cov_oiii_5007_ew_hbeta_ew,780,29,-1496.10400390625,0.9489821195602416,3.226673431500711e-05,0.8211912459206941,0.0001209183466424
nii_6584_ew_mean,560,40,-1284.1732177734375,0.9965028166770936,0.0001239775229511,0.9930822672162894,0.0002571549117664
halpha_ew_mean,560,34,-1290.1644287109375,0.999101221561432,0.0001273536868974,0.9983027915057364,0.0002445817532306
oiii_5007_ew_mean,560,23,-1191.5406494140625,0.9977491497993468,0.0002716927830131,0.9951807730563912,0.000571137952672
hbeta_ew_mean,560,35,-1309.1375732421875,0.9990280866622924,0.0001122220135813,0.9980997975859868,0.0002238634695625
nii_6584_ew_std,560,22,-1332.66796875,0.8705394268035889,0.0001060408698661,0.7310899599404748,0.0002798443570858
halpha_ew_std,560,30,-1338.921875,0.962651252746582,9.836907398692434e-05,0.9086158401379268,0.0002685162163077
oiii_5007_ew_std,560,23,-1195.72412109375,0.8739874958992004,0.0002555399294211,0.7707239723446904,0.0005795856551344
hbeta_ew_std,560,20,-1345.779296875,0.9527338147163392,0.0001004659756702,0.908605532346723,0.0002128437876006
cov_nii_6584_ew_halpha_ew,560,27,-1552.461669921875,0.934634804725647,2.369175911887501e-05,0.8496408844563419,6.677076321787159e-05
cov_nii_6584_ew_oiii_5007_ew,560,38,-1511.2249755859375,0.95087867975235,2.7287319144745477e-05,0.8559965555208244,8.97373997655449e-05
cov_nii_6584_ew_hbeta_ew,560,25,-1586.566650390625,0.911686360836029,1.887354382308745e-05,0.8224205797930166,4.569395302840777e-05
cov_halpha_ew_oiii_5007_ew,560,28,-1498.7366943359375,0.9567880034446716,3.2782344998069486e-05,0.8534313203018495,0.0001168313330044
cov_halpha_ew_hbeta_ew,560,21,-1527.876953125,0.9545270800590516,2.9839564323543705e-05,0.9081771662452665,6.698591261866422e-05
cov_oiii_5007_ew_hbeta_ew,560,30,-1496.8641357421875,0.9492399096488952,3.210367229879435e-05,0.8261824815664379,0.000117543053497
nii_6584_ew_mean,970,40,-1288.8499755859375,0.996495008468628,0.0001242538820384,0.9929879266756242,0.0002606618603823
halpha_ew_mean,970,35,-1278.9718017578125,0.9991239309310912,0.000124135410061,0.9984107612254834,0.0002290224254045
oiii_5007_ew_mean,970,27,-1186.4942626953125,0.997748613357544,0.0002717575334833,0.9951539459713236,0.0005743172938031
hbeta_ew_mean,970,35,-1310.7840576171875,0.9990386962890624,0.0001109971219275,0.9980793075351284,0.0002262774091738
nii_6584_ew_std,970,19,-1339.6590576171875,0.867897629737854,0.0001082047142147,0.7243530069874549,0.0002868552454388
halpha_ew_std,970,27,-1339.2021484375,0.9639456272125244,9.495989588613762e-05,0.907050264722044,0.0002731163832037
oiii_5007_ew_std,970,29,-1190.8045654296875,0.874064028263092,0.0002553848133174,0.7700159271789239,0.0005813755187563
hbeta_ew_std,970,18,-1345.2945556640625,0.9525808095932008,0.0001007911539511,0.9085448916934964,0.000212985010441
cov_nii_6584_ew_halpha_ew,970,36,-1554.4893798828125,0.9396799802780152,2.1863127021335386e-05,0.8546531785534679,6.454492741717905e-05
cov_nii_6584_ew_oiii_5007_ew,970,42,-1514.481201171875,0.9535126090049744,2.5824140747779444e-05,0.8450366119597443,9.656721442939258e-05
cov_nii_6584_ew_hbeta_ew,970,32,-1585.089111328125,0.913742184638977,1.8434185861005023e-05,0.8377810750178146,4.174145815891841e-05
cov_halpha_ew_oiii_5007_ew,970,34,-1494.250244140625,0.9569387435913086,3.2667967949281475e-05,0.8525283742155281,0.0001175510801913
cov_halpha_ew_hbeta_ew,970,27,-1528.8017578125,0.9591160416603088,2.6828266711769808e-05,0.905553746344546,6.889973044638574e-05
cov_oiii_5007_ew_hbeta_ew,970,35,-1494.37255859375,0.9500852823257446,3.156902659349828e-05,0.8218963664459796,0.0001204415131197
nii_6584_ew_mean,390,42,-1288.660888671875,0.9964905977249146,0.0001244105426727,0.992879184358741,0.0002647041704538
halpha_ew_mean,390,43,-1283.779541015625,0.9991515874862672,0.0001202196567759,0.9983795783796516,0.0002335161308803
oiii_5007_ew_mean,390,21,-1185.1651611328125,0.9975716471672058,0.0002931192924462,0.9950300622896876,0.0005889990411304
hbeta_ew_mean,390,33,-1311.0025634765625,0.9990400671958924,0.0001108354612989,0.998070805825318,0.0002272789983947
nii_6584_ew_std,390,20,-1334.1708984375,0.8674765229225159,0.0001085496648731,0.7252941133778807,0.0002858758721409
halpha_ew_std,390,30,-1341.1939697265625,0.9632127285003662,9.689028832564347e-05,0.9054020266388983,0.0002779594397501
oiii_5007_ew_std,390,27,-1193.109130859375,0.8717713952064514,0.0002600340335735,0.7657836313189603,0.0005920743170293
