combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
42-38-40-45,42,38,40,45,0.5386630296707153,0.7485301494598389,0.5910818576812744,0.7223343849182129,0.0545524403143095,0.05588305384379626,0.11180201702923849,0.05070569214389931,0.27294320333124356
42-38-40-42,42,38,40,42,0.5386630296707153,0.7485301494598389,0.5910818576812744,0.722253680229187,0.0545524403143095,0.05588305384379626,0.11180201702923849,0.05070912425734517,0.27294663544468944
47-38-45-41,47,38,45,41,0.5404226183891296,0.7485301494598389,0.5916415452957153,0.7221635580062866,0.05446128695712334,0.05588305384379626,0.11187849624163723,0.05072549665690676,0.2729483336994636
47-38-41-41,47,38,41,41,0.5404226183891296,0.7485301494598389,0.5914580821990967,0.7221635580062866,0.05446128695712334,0.05588305384379626,0.11187993661528238,0.05072549665690676,0.2729497740731087
47-38-40-40,47,38,40,40,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.7217997908592224,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05081034146032946,0.27295669929048755
42-38-40-41,42,38,40,41,0.5386630296707153,0.7485301494598389,0.5910818576812744,0.7221635580062866,0.0545524403143095,0.05588305384379626,0.11180201702923849,0.05072549665690676,0.272963007844251
43-38-42-40,43,38,42,40,0.5397072434425354,0.7485301494598389,0.591460645198822,0.7217997908592224,0.05441051449632982,0.05588305384379626,0.1118679374971305,0.05081034146032946,0.27297184729758606
41-38-40-47,41,38,40,47,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7224698066711426,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05069536310302376,0.2729808569433839
43-38-45-40,43,38,45,40,0.5397072434425354,0.7485301494598389,0.5916415452957153,0.7217997908592224,0.05441051449632982,0.05588305384379626,0.11187849624163723,0.05081034146032946,0.2729824060420928
43-38-41-40,43,38,41,40,0.5397072434425354,0.7485301494598389,0.5914580821990967,0.7217997908592224,0.05441051449632982,0.05588305384379626,0.11187993661528238,0.05081034146032946,0.2729838464157379
41-38-40-46,41,38,40,46,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7224181890487671,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05070382356115253,0.2729893174015127
43-38-40-39,43,38,40,39,0.5397072434425354,0.7485301494598389,0.5910818576812744,0.7214324474334717,0.05441051449632982,0.05588305384379626,0.11180201702923849,0.05089443410633031,0.2729900194756949
41-38-40-45,41,38,40,45,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7223343849182129,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05070569214389931,0.2729911859842595
41-38-40-42,41,38,40,42,0.538421630859375,0.7485301494598389,0.5910818576812744,0.722253680229187,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05070912425734517,0.27299461809770537
42-38-42-47,42,38,42,47,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7224698066711426,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05069536310302376,0.27299879475826005
42-38-42-46,42,38,42,46,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7224181890487671,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05070382356115253,0.2730072552163888
42-38-42-45,42,38,42,45,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7223343849182129,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05070569214389931,0.27300912379913556
42-38-45-47,42,38,45,47,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7224698066711426,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05069536310302376,0.2730093535027668
42-38-41-47,42,38,41,47,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7224698066711426,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05069536310302376,0.2730107938764119
41-38-40-41,41,38,40,41,0.538421630859375,0.7485301494598389,0.5910818576812744,0.7221635580062866,0.05460042296732544,0.05588305384379626,0.11180201702923849,0.05072549665690676,0.27301099049726696
42-38-42-42,42,38,42,42,0.5386630296707153,0.7485301494598389,0.591460645198822,0.722253680229187,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05070912425734517,0.27301255591258144
42-38-45-46,42,38,45,46,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7224181890487671,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05070382356115253,0.27301781396089553
42-38-41-46,42,38,41,46,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7224181890487671,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05070382356115253,0.27301925433454066
42-38-45-45,42,38,45,45,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7223343849182129,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05070569214389931,0.2730196825436423
42-38-41-45,42,38,41,45,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.7223343849182129,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05070569214389931,0.2730211229172875
47-38-42-40,47,38,42,40,0.5404226183891296,0.7485301494598389,0.591460645198822,0.7217997908592224,0.05446128695712334,0.05588305384379626,0.1118679374971305,0.05081034146032946,0.27302261975837955
42-38-45-42,42,38,45,42,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.722253680229187,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05070912425734517,0.2730231146570882
42-38-41-42,42,38,41,42,0.5386630296707153,0.7485301494598389,0.5914580821990967,0.722253680229187,0.0545524403143095,0.05588305384379626,0.11187993661528238,0.05070912425734517,0.2730245550307333
42-38-42-41,42,38,42,41,0.5386630296707153,0.7485301494598389,0.591460645198822,0.7221635580062866,0.0545524403143095,0.05588305384379626,0.1118679374971305,0.05072549665690676,0.27302892831214304
47-38-45-40,47,38,45,40,0.5404226183891296,0.7485301494598389,0.5916415452957153,0.7217997908592224,0.05446128695712334,0.05588305384379626,0.11187849624163723,0.05081034146032946,0.2730331785028863
47-38-41-40,47,38,41,40,0.5404226183891296,0.7485301494598389,0.5914580821990967,0.7217997908592224,0.05446128695712334,0.05588305384379626,0.11187993661528238,0.05081034146032946,0.2730346188765314
42-38-45-41,42,38,45,41,0.5386630296707153,0.7485301494598389,0.5916415452957153,0.7221635580062866,0.0545524403143095,0.05588305384379626,0.11187849624163723,0.05072549665690676,0.27303948705664977
47-38-40-39,47,38,40,39,0.5404226183891296,0.7485301494598389,0.5910818576812744,0.7214324474334717,0.05446128695712334,0.05588305384379626,0.11180201702923849,0.05089443410633031,0.2730407919364884
