combo,complexity_nii_6584_ew,complexity_halpha_ew,complexity_oiii_5007_ew,complexity_hbeta_ew,r2_nii_6584_ew,r2_halpha_ew,r2_oiii_5007_ew,r2_hbeta_ew,mse_test_nii_6584_ew,mse_test_halpha_ew,mse_test_oiii_5007_ew,mse_test_hbeta_ew,mse_total
24-25-22-25,24,25,22,25,0.5288138389587402,0.7434190511703491,0.5847432613372803,0.7188795208930969,0.05584504664636968,0.05721049791278843,0.11376899799037798,0.0515015428688099,0.278326085418346
25-22-21-25,25,22,21,25,0.5311232805252075,0.7425686717033386,0.5840564370155334,0.7188795208930969,0.05548573202490148,0.05734209116790993,0.11403045261578781,0.0515015428688099,0.2783598186774091
25-22-22-24,25,22,22,24,0.5311232805252075,0.7425686717033386,0.5847432613372803,0.7170562148094177,0.05548573202490148,0.05734209116790993,0.11376899799037798,0.05178549557725267,0.27838231676044206
20-22-25-24,20,22,25,24,0.5259456634521484,0.7425686717033386,0.5873445868492126,0.7170562148094177,0.05626066709103346,0.05734209116790993,0.11300523105008028,0.05178549557725267,0.27839348488627635
21-22-22-25,21,22,22,25,0.5285353660583496,0.7425686717033386,0.5847432613372803,0.7188795208930969,0.05583469718235582,0.05734209116790993,0.11376899799037798,0.0515015428688099,0.27844732920945364
24-22-22-25,24,22,22,25,0.5288138389587402,0.7425686717033386,0.5847432613372803,0.7188795208930969,0.05584504664636968,0.05734209116790993,0.11376899799037798,0.0515015428688099,0.2784576786734675
25-25-21-24,25,25,21,24,0.5311232805252075,0.7434190511703491,0.5840564370155334,0.7170562148094177,0.05548573202490148,0.05721049791278843,0.11403045261578781,0.05178549557725267,0.27851217813073037
21-25-21-25,21,25,21,25,0.5285353660583496,0.7434190511703491,0.5840564370155334,0.7188795208930969,0.05583469718235582,0.05721049791278843,0.11403045261578781,0.0515015428688099,0.27857719057974195
25-21-25-24,25,21,25,24,0.5311232805252075,0.7379428744316101,0.5873445868492126,0.7170562148094177,0.05548573202490148,0.05830335416606482,0.11300523105008028,0.05178549557725267,0.27857981281829924
24-25-21-25,24,25,21,25,0.5288138389587402,0.7434190511703491,0.5840564370155334,0.7188795208930969,0.05584504664636968,0.05721049791278843,0.11403045261578781,0.0515015428688099,0.27858754004375585
21-25-22-24,21,25,22,24,0.5285353660583496,0.7434190511703491,0.5847432613372803,0.7170562148094177,0.05583469718235582,0.05721049791278843,0.11376899799037798,0.05178549557725267,0.2785996886627749
24-25-22-24,24,25,22,24,0.5288138389587402,0.7434190511703491,0.5847432613372803,0.7170562148094177,0.05584504664636968,0.05721049791278843,0.11376899799037798,0.05178549557725267,0.27861003812678875
25-22-21-24,25,22,21,24,0.5311232805252075,0.7425686717033386,0.5840564370155334,0.7170562148094177,0.05548573202490148,0.05734209116790993,0.11403045261578781,0.05178549557725267,0.2786437713858519
21-21-25-25,21,21,25,25,0.5285353660583496,0.7379428744316101,0.5873445868492126,0.7188795208930969,0.05583469718235582,0.05830335416606482,0.11300523105008028,0.0515015428688099,0.2786448252673108
