seed,p_energy,p_wasserstein,d_ks2d,d_kl
12964,0.05425000000000001,0.035,0.12600000000000003,0.5353697303663277
15103,0.054825,0.015,0.13150000000000003,0.5617757432144764
18656,0.06582500000000001,0.32,0.11300000000000002,0.561912429952682
12183,0.06285,0.1,0.12400000000000001,0.5381847146868735
10462,0.060475,0.035,0.11350000000000002,0.5277082845590122
19920,0.06442500000000001,0.035,0.1355,0.5308972191982118
17184,0.063125,0.105,0.12400000000000003,0.5215939541404726
11702,0.06705,0.05,0.1255,0.5165369700720323
12198,0.059050000000000005,0.095,0.15150000000000002,0.5425609603860885
14012,0.050425000000000005,0.14,0.13649999999999998,0.5543632575287778
10178,0.05385000000000001,0.035,0.1305,0.5379932115025042
12004,0.05825,0.06,0.1355,0.5378733147446169
14307,0.05012500000000001,0.08,0.13250000000000003,0.5411322899673447
18903,0.061724999999999995,0.075,0.14250000000000002,0.5485467686171295
10415,0.057575,0.01,0.127,0.5279025274120757
16180,0.05012500000000001,0.045,0.13,0.5289231903408889
19663,0.05885,0.08,0.1345,0.5452170916095322
11979,0.06075,0.015,0.1265,0.5431794365856589
14619,0.057775,0.155,0.131,0.5695078350339529
15292,0.06185,0.05,0.1355,0.5439177933000912
17819,0.06105000000000001,0.025,0.1305,0.5301633722699489
13538,0.061575000000000005,0.025,0.12850000000000003,0.5455040938058267
15038,0.058800000000000005,0.07,0.1335,0.5366754332430383
14298,0.054525000000000004,0.09,0.13499999999999998,0.5225829630344183
19216,0.05657500000000001,0.115,0.12149999999999998,0.5609835101433654
17234,0.0644,0.145,0.1245,0.5320099489458636
13126,0.058675000000000005,0.055,0.137,0.5271808047750909
18828,0.05682500000000001,0.005,0.1305,0.5377999316635226
16701,0.06075,0.05,0.1445,0.5469330013770288
13500,0.051699999999999996,0.115,0.1395,0.5560507422893323
18697,0.060200000000000004,0.005,0.11850000000000002,0.5345312259008927
12804,0.0582,0.12,0.14049999999999999,0.5275842828195627
17839,0.05722500000000001,0.15,0.1235,0.5455948355029423
17481,0.06225000000000001,0.02,0.1215,0.5369677089361162
19101,0.0577,0.18,0.12,0.5535201966465773
18660,0.062525,0.025,0.11999999999999998,0.5300866208693582
14819,0.052975,0.07,0.129,0.526162197080839
10157,0.061825,0.14,0.1275,0.5402443721828973
